index	Region	Practice	Efficacy	Year of adoption	ACDNB	Last profitable year	Age adoption pays off	Breakeven probability
sonomaDP25y10	Sonoma	Delayed Pruning	25.0	10.0	$8,142	13	10.0	0.0
sonomaDP50y3	Sonoma	Delayed Pruning	50.0	3.0	$57,781	22	3.0	0.0
sonomaDP50y5	Sonoma	Delayed Pruning	50.0	5.0	$48,848	21	5.0	0.0
sonomaDP50y10	Sonoma	Delayed Pruning	50.0	10.0	$22,274	16	10.0	0.0
sonomaDP75y3	Sonoma	Delayed Pruning	75.0	3.0	$78,248	25	3.0	0.0
sonomaDP75y5	Sonoma	Delayed Pruning	75.0	5.0	$74,265	25	5.0	0.0
sonomaDP75y10	Sonoma	Delayed Pruning	75.0	10.0	$45,280	23	10.0	0.0
sonomaDBP25y3	Sonoma	Double Pruning	25.0	3.0	$18,347	15	10	0.221
sonomaDBP25y5	Sonoma	Double Pruning	25.0	5.0	$14,499	15	10	0.24
sonomaDBP25y1	Sonoma	Double Pruning	25.0	10.0	$4,917	13	11	0.396
sonomaDBP50y3	Sonoma	Double Pruning	50.0	3.0	$52,588	22	9	0.09
sonomaDBP50y5	Sonoma	Double Pruning	50.0	5.0	$44,260	20	9	0.094
sonomaDBP50y1	Sonoma	Double Pruning	50.0	10.0	$19,049	15	10	0.145
sonomaDBP75y3	Sonoma	Double Pruning	75.0	3.0	$73,056	25	9	0.066
sonomaDBP75y5	Sonoma	Double Pruning	75.0	5.0	$69,677	25	9	0.062
sonomaDBP75y1	Sonoma	Double Pruning	75.0	10.0	$42,055	22	10	0.071
sonomaHP25y3	Sonoma	Hand painted Topsin	25.0	3.0	$22,388	15	7	0.049
sonomaHP25y5	Sonoma	Hand painted Topsin	25.0	5.0	$18,070	15	7	0.053
sonomaHP25y10	Sonoma	Hand painted Topsin	25.0	10.0	$7,427	13	10	0.088
sonomaHP50y3	Sonoma	Hand painted Topsin	50.0	3.0	$56,630	22	6	0.02
sonomaHP50y5	Sonoma	Hand painted Topsin	50.0	5.0	$47,831	20	6	0.021
sonomaHP50y10	Sonoma	Hand painted Topsin	50.0	10.0	$21,559	15	10	0.032
sonomaHP75y3	Sonoma	Hand painted Topsin	75.0	3.0	$77,097	25	6	0.015
sonomaHP75y5	Sonoma	Hand painted Topsin	75.0	5.0	$73,248	25	6	0.014
sonomaHP75y10	Sonoma	Hand painted Topsin	75.0	10.0	$44,565	22	10	0.016sonoma
